Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,Municipi,CP,ABS,Telèfon
F08006059,MONTANER ROGADO. YOLANDA,CR,SANT PAU,70,BARCELONA,08001,19 BARCELONA 1-D,932417525
F08006066,ORTI BRAVO. ANGEL,CR,POTOSI,2,BARCELONA,08030,69 BARCELONA 9-E,931010126
F08006073,GALLART MARTI. MARIA ANTONIA,CR,SANT ANTONI ABAT,44,BARCELONA,08001,20 BARCELONA 1-E,934422139
F08006080,ORIOL CARRERAS. MARINA,CR,LLULL,187,BARCELONA,08005,72 BARCELONA 10-B,933001414
F08006098,FORS IBORRA. EUGENI,CR,MARINA,189,BARCELONA,08013,30 BARCELONA 2-J,932314205
F08006108,PLA SANTAMANS. FRANCESC,CR,VALENCIA,440,BARCELONA,08013,29 BARCELONA 2-I,932313905
F08006122,MIQUEL SERRA. MONTSERRAT,CR,BALMES,222,BARCELONA,08006,42 BARCELONA 5-A,932176791
F08006130,SALVADO LLADO. ANGELS,PS,SANT JOAN,2,BARCELONA,08010,28 BARCELONA 2-H,932364105
F08006147,OLMOS COBO. CELIA,CR,GALILEU,104,BARCELONA,08028,38 BARCELONA 3-G,933391288
F08006154,RISCO URRACO. JOAN IGNACIO,CR,COLLBLANC,154-156,BARCELONA,08028,41 BARCELONA 4-C,932505236
F08006161,FERNANDEZ COLOME. MARIA,CR,PI I MARGALL,5,BARCELONA,08024,47 BARCELONA 6-A,932134864
F08006179,MARTÍ SANROMÀ. CATALINA/GARCIA MARTI. MARIA,CR,COMTE D'URGELL,95,BARCELONA,08011,22 BARCELONA 2-B,934535469
F08006186,BARCELO GIRO. JUDITH,CR,VILA-SECA,39,BARCELONA,08031,62 BARCELONA 8-F,934293109
F08006193,TORIBIO HERNANDEZ. FRANCISCO,CR,AMERICA,46,BARCELONA,08041,326 BARCELONA 7-G,934503791
F08006203,THOMAS PALLEROLA/EGEA THOMAS,CR,MALLORCA,554,BARCELONA,08026,75 BARCELONA 10-E,932314208
F08006210,MUÑIO MICOLAU. SILVIA.,CR,CLOT,88,BARCELONA,08018,77 BARCELONA 10-G,932313605
F08006228,VIVES SANCHEZ. ADELA,RD,SANT PAU,3,BARCELONA,08015,21 BARCELONA 2-A,932315995
F08006235,SALABERT HORNO. ALEX,CR,AVENIR,21,BARCELONA,08006,42 BARCELONA 5-A,932005923
F08006242,RODRIGUEZ MARTINEZ. JUAN ANTONIO,CR,MARQUESA,3,BARCELONA,08003,17 BARCELONA 1-B,933199143
F08006250,GARCIA LOPEZ. JUAN CARLOS,GV,CORTS CATALANES,278,BARCELONA,08004,33 BARCELONA 3-B,932231315
F08006267,MARQUEZ VALLS. MARTA,CR,PALLARS,145,BARCELONA,08018,71 BARCELONA 10-A,933092313
F08006274,SAMARANCH MIRADA.MARIANO,CR,SARAGOSSA,42,BARCELONA,08006,43 BARCELONA 5-B,932376210
F08006281,GARRIDO BLANCH. MARC,CR,PROVENÇA,195,BARCELONA,08008,25 BARCELONA 2-E,934536110
F08006299,COSTA MIRALBELL. ERNEST,CR,MUNTANER,83,BARCELONA,08011,25 BARCELONA 2-E,934530879
F08006309,BONANY JANE. MARIA PILAR,CR,SANT ANTONI MARIA CLARET,97,BARCELONA,08025,52 BARCELONA 7-B,934356905
F08006316,AUGE RIBAS. RITA,CR,ROGENT,118,BARCELONA,08026,76 BARCELONA 10-F,934362326
F08006323,SERRALTA BAQUERO. TERESA M.,CR,ARIBAU,91,BARCELONA,08036,25 BARCELONA 2-E,934532990
F08006330,FABREGAT MARIMÓN. BEATRIU.,CR,AVINYO,27,BARCELONA,08002,18 BARCELONA 1-C,933152459
F08006348,IBAÑEZ GIMENO. MARTA,AV,DIAGONAL,319,BARCELONA,08009,30 BARCELONA 2-J,934583412
F08006355,SASTRE-MARQUES PEIX. FRANCESC,RB,DEL RAVAL,2,BARCELONA,08001,19 BARCELONA 1-D,934415079
F08006362,ANORO GUASCH. EVA,CR,CARRERAS I CANDI,49,BARCELONA,08028,36 BARCELONA 3-E,934224392
F08006370,CABEZAS ANDREU. JORDI,CR,MAJOR DE SARRIA,94,BARCELONA,08017,45 BARCELONA 5-D,932031121
F08006387,CLAPES ANTOJA. JOSEP,RB,SANT JOSEP,98,BARCELONA,08002,18 BARCELONA 1-C,933012843
F08006394,ROCA TUGAS. DOMENEC,CR,CASANOVA,236,BARCELONA,08036,25 BARCELONA 2-E,932306510
F08006404, ROCAPREVERA SOLÀ DEGÈS. MARIA,CR,BILBAO,145,BARCELONA,08018,73 BARCELONA 10-C,933078848
F08006411,MILAN MARGAÑON. JOSEP ORIOL,CR,MILA I FONTANALS,12,BARCELONA,08012,48 BARCELONA 6-B,932080168
F08006436,BASTERRA GABARRO. JOAN PASCUAL/BASTERRA GABARRO.MIQUEL,PS,TAULAT,190-194,BARCELONA,08019,72 BARCELONA 10-B,932411624
F08006450,CARRERAS COMA. MIQUEL,CR,HOSPITAL,14,BARCELONA,08001,20 BARCELONA 1-E,933187099
F08006468,SERRA MANDRI. JOAN M.,AV,DIAGONAL,478,BARCELONA,08006,48 BARCELONA 6-B,932173249
F08006475,VILLAR MERCHAN. MONTSERRAT,RB,POBLENOU,21,BARCELONA,08005,72 BARCELONA 10-B,933092937
F08006482,COLOMINA GUITART. CLÀUDIA,CR,SARAGOSSA,133,BARCELONA,08006,43 BARCELONA 5-B,932122627
F08006490,BASTIDA VILA.MONTSERRAT/SICART JUDAS.LORETO,PL,RASPALL,1,BARCELONA,08012,48 BARCELONA 6-B,932136496
F08006517,ARTIGAS ROVIRA. LAIA,CR,PRINCESA,20,BARCELONA,08003,17 BARCELONA 1-B,933197711
F08006524,SOLER ALONSO. EDUARD,CR,JAUME I,14,BARCELONA,08002,18 BARCELONA 1-C,933104226
F08006531,VALLS BIOSCA. MARIA,RD,SANT ANTONI,106,BARCELONA,08001,20 BARCELONA 1-E,933175674
F08006556,SURIOL VILA. LAURA,PS,VALL D'HEBRON,130-134,BARCELONA,08035,55 BARCELONA 7-E,931412257
F08006563,FARRANDO MARTINEZ. JOSE MANUEL.,GV,CORTS CATALANES,489,BARCELONA,08015,22 BARCELONA 2-B,934266584
F08006570,GIL PELLICER.FRANCESC/CORTES TENA.JULIA,CR,ASTURIES,54,BARCELONA,08012,48 BARCELONA 6-B,932186196
F08006588,MARTINEZ MONTERO. CONCEPCION,CR,PERACAMPS ,13,BARCELONA,08001,19 BARCELONA 1-D,934410546
F08006595,MARINÉ BALLELL. MIREIA,CR,ARIBAU,180,BARCELONA,08036,25 BARCELONA 2-E,932189586
F08006605,ESTRUCH GARRIGA.ANDREU,CR,BADAL,156,BARCELONA,08028,36 BARCELONA 3-E,934221618
F08006620,SANCHIS FORET. MARIA DEL MAR,RB,CATALUNYA,117,BARCELONA,08008,25 BARCELONA 2-E,932375556
F08006637,GONZALEZ VAZQUEZ. JOSE FANNY,CR,CARME,84,BARCELONA,08001,20 BARCELONA 1-E,934425735
